jobs,skills,employment,coverage
Clinical Research Coordinators,"{'Coordinate vendor specifications for study requirements (Administration & Office > Research Coordination & Communications > Vendor & Specification Coordination for Studies)', 'Communicate laboratory findings to investigators and stakeholders (Administration & Office > Research Coordination & Communications > Laboratory Findings Communication)', 'Review clinical study protocols for sample collection, data management, and subject risk considerations (Administration & Office > Research Coordination & Communications > Study Protocol Review & Operational Risk Evaluation)', 'Record adverse events and side effects and coordinate reporting with investigators (Administration & Office > Records Management > Clinical Research Activity Records Maintenance)', 'Register clinical trial participants with required registries (Administration & Office > Records Management > Clinical Research Registration)', 'Order study supplies and medical devices (Operations & Logistics > Procurement & Purchasing > Study Materials & Medical Devices Ordering)', 'Schedule clinical appointments and procedures (Administration & Office > Scheduling & Notifications > Clinical Tests & Procedure Scheduling)', 'Prepare clinical study documentation (protocols, manuals, adverse events, IRB, progress reports) (Administration & Office > Research Coordination & Communications > Study Documentation Preparation & Submission)', 'Maintain clinical research activity records (Administration & Office > Records Management > Clinical Research Activity Records Maintenance)', 'Maintain current knowledge of clinical research through literature review and continuing education (Administration & Office > Human Resources Administration > Professional Literature & Trends Monitoring)', 'Track subject enrollment and document attrition (Administration & Office > Records Management > Clinical Research Activity Records Maintenance)', 'Prepare clinical study reports and presentations with investigators (Content & Publishing > Technical Presentations & Reporting > Scientific Publication & Presentation Preparation & Review)', 'Coordinate sponsor communications and site visit scheduling (Administration & Office > Research Coordination & Communications > Sponsor Communications & Site Visit Coordination)', 'Code and interpret clinical study data (Data & Analytics > Clinical Care Data Collection & Analysis)'}",104300,0.0166073546856465
Judicial Law Clerks,"{'Enter case and calendar data into court information systems (Compliance & Legal > Judicial Administration > Court Case Records & Disposition Entry)', 'Schedule judicial meetings and appointments (Compliance & Legal > Judicial Administration > Judicial Meeting & Appointment Scheduling)', 'Draft legal briefs and memoranda with issue analysis and recommendations. (Compliance & Legal > Legal Document Drafting & Review > Legal Brief & Memorandum Drafting)', 'Review case dockets and monitor litigation progress (Compliance & Legal > Judicial Administration > Case Docket Review & Progress Monitoring)', 'Conduct legal research on case law and case documents (Compliance & Legal > Legal Research & Interpretation)', 'Verify case file completeness and document order (Compliance & Legal > Judicial Administration > Case File Completeness & Order Verification)', 'Review legal filings to identify issues and grounds for relief (Compliance & Legal > Legal Research & Interpretation > Legal Filings Review & Issue Identification)', 'Draft and proofread judicial documents (Compliance & Legal > Legal Document Drafting & Review > Judicial Opinions & Decisions Drafting & Proofreading)'}",14500,0.009489916963226572
Supply Chain Managers,"{'Plan material handling equipment and staffing levels (Operations & Logistics > Material Handling Capacity Planning)', 'Analyze inventory to improve turnover and service levels (Operations & Logistics > Supply Chain Operations Management > Inventory Analytics & Optimization)', 'Develop crossfunctional procedures to coordinate supply chain activities. (Operations & Logistics > Supply Chain Operations Management > CrossFunctional Supply Chain Coordination Procedure Development)', 'Monitor supplier performance against quality and delivery requirements (Operations & Logistics > Procurement & Purchasing > Supplier Performance Analysis & Procurement Program Evaluation)', 'Manage supply chain purchasing, planning, inventory, warehousing & receiving operations (Operations & Logistics > Supply Chain Operations Management > Purchasing, MRP, Inventory, Warehousing & Receiving Management)', 'Analyze supplier performance and procurement program outcomes (root > Operations & Logistics > Procurement & Purchasing > Supplier Performance Analysis & Procurement Program Evaluation)', 'Document supply chain workflows and process details (Operations & Logistics > Supply Chain Process Documentation)', 'Select costefficient transportation routes via shipment consolidation and distribution optimization (Operations & Logistics > Supply Chain Operations Management > Transportation Routing & Consolidation Optimization)', 'Analyze supply chain forecasts and quotas for operational impact (Operations & Logistics > Supply Chain Operations Management > Supply Chain Forecast & Quota Impact Analysis)'}",216700,0.010676156583629894
Software Quality Assurance Analysts and Testers,"{'Monitor defect resolution progress and track outcomes (Quality Management > Defect Tracking & Resolution Monitoring)', 'Log and report software defects in tracking systems (Quality Management > Defect Tracking & Resolution Monitoring)', 'Maintain defect tracking records (Quality Management > Defect Tracking & Resolution Monitoring)', 'Test system modifications prior to implementation (Quality Management > Test Execution)', 'Plan test schedules and strategies to meet scope and deadlines (Quality Management > Test Planning & Design)', 'Install and administer software testing tools (Quality Management > Test Tool Installation & Administration)', 'Monitor software program performance and operational health (Information Technology > IT Operations > Systems Monitoring & Alerting)', 'Maintain automated test scripts (Quality Management > Automated Test Script Maintenance)', 'Document test procedures for reproducibility and standards compliance (Quality Management > Test Documentation & Records)', 'Design test plans and procedures (Quality Management > Test Planning & Design)', 'Design comprehensive software test programs (Quality Management > Test Planning & Design)', 'Review software documentation for technical accuracy, compliance, and completeness. (Quality Management > Software Documentation Accuracy, Compliance & Completeness Review)', 'Identify, analyze, and document software defects (Quality Management > Defect Tracking & Resolution Monitoring)', 'Provide usability and functionality feedback to developers (Quality Management > Test Results Analysis & Corrective Actions > Usability & Functionality Feedback & Recommendations)', 'Review software against standards and recommend corrective changes (Quality Management > Standards Compliance Review & Remediation Recommendations)', 'Define quality standards, methods and release criteria (Quality Management > Quality Standards, Methods & Release Criteria Definition)', 'Execute software compatibility testing across platforms and environments (Quality Management > Test Execution)'}",201700,0.020166073546856466
Regulatory Affairs Managers,"{'Review regulatory submissions for timeliness, accuracy and compliance (Compliance & Legal > Regulatory Compliance > Regulatory Submission Review & Quality Control)', 'Review materials for regulatory compliance (Compliance & Legal > Regulatory Compliance > Product & Marketing Materials Compliance Review)', 'Monitor regulatory trends and assess impacts on organizational processes (Compliance & Legal > Regulatory Compliance > Regulatory Change Monitoring)', 'Coordinate preparation and filing of regulatory submissions (Compliance & Legal > Regulatory Compliance > Regulatory Applications & Reports Preparation & Submission)', 'Monitor regulatory changes and maintain current regulatory knowledge (Compliance & Legal > Regulatory Compliance > Regulatory Change Monitoring)'}",1333700,0.005931198102016607
Biofuels Production Managers,"{'Manage operational budgets (Finance & Accounting > Budget Management > Operational Budget Approval & Management)', 'Monitor production instrumentation and apply corrective adjustments to biofuels equipment (Operations & Logistics > Production Operations Monitoring)', 'Analyze biofuels production costs, materials, and efficiency (Operations & Logistics > Production Cost & Efficiency Analysis)', 'Approve capital and process change proposals for biofuels production operations (Operations & Logistics > Equipment & Process Change Approval)', 'Review production logs and reports to ensure output levels and detect abnormalities (Operations & Logistics > Production Operations Monitoring > Production Logs & Reports Review for Levels & Anomalies)', 'Adjust process parameters to maintain biofuels operations (Operations & Logistics > Process Control & Parameter Adjustment)'}",241900,0.0071174377224199285
Fundraisers,"{'Compose and send donor thankyou correspondence (Content & Publishing > Donor Correspondence Writing)', 'Write fundraising speeches, press releases, and promotional materials (root > Content & Publishing > Fundraising Promotional Materials Design & Production)', 'Develop fundraising strategies (Content & Publishing > Fundraising Campaign Development & Execution)', 'Prepare reports and presentations on fundraising program data (Data & Analytics → Analytics Communications & Enablement)', 'Monitor budgets and expense reports (Finance & Accounting → Budget Management → Budget Reporting Oversight)', 'Create and update donor database records (Information Technology > Database Management > Donor Databases)', 'Track fundraising campaign progress and performance (Content & Publishing > Fundraising Campaign Development & Execution > Fundraising Campaign Progress Monitoring)', 'Research donor or investor profiles, net worth, and giving history (Data & Analytics > Market Research & Opportunity Analysis > Donor Prospect Research)', 'Develop and implement fundraising campaigns and programs (Content & Publishing > Fundraising Campaign Development & Execution)', 'Design and produce promotional materials for fundraising events (Content & Publishing > Fundraising Promotional Materials Design & Production)'}",134400,0.011862396204033215
Computer Systems Engineers/Architects,"{'Monitor system operations to detect and escalate potential problems (Information Technology > IT Operations > Systems Monitoring & Alerting)', 'Advise on solution costs and design changes (Information Technology → Systems Analysis & Solution Design → Solution Costing & Design Advisory)', 'Design and conduct hardware/software tests (Quality Management > Test Planning & Design)', 'Coordinate system design solution selection and component compatibility (Information Technology > Systems Analysis & Solution Design > Computer Systems & Software CoDesign)', 'Identify required system components to meet user requirements (Information Technology > IT Operations > IT Resource Planning & Architecture)', 'Test and verify software patches and fixes (Information Technology → Web & Application Administration → Update & Patch Management)', 'Provide technical guidance for systems development and troubleshooting (Information Technology > IT Support > Systems Development Technical Support & Troubleshooting)', 'Evaluate technologies for cost, portability, compatibility, and usability (Information Technology > IT Operations > Technology Trends Monitoring & Assessment)', 'Analyze and define information system objectives, scope, and impacts (Information Technology > Systems Analysis & Solution Design > Feasibility Assessment & Requirements Analysis)', 'Prepare and deliver technical presentations and reports (Content & Publishing > Technical Presentations & Reporting)'}",472000,0.011862396204033215
Training and Development Specialists,"{'Schedule classes based on classroom, equipment, and instructor availability (Administration & Office > Scheduling & Notifications > Course & Instructor Scheduling)', 'Develop and organize training materials and guides (Administration & Office → Human Resources Administration → Training Materials Development & Organization)', 'Evaluate training materials for quality and effectiveness (Administration & Office > Human Resources Administration > Training Materials Evaluation)', 'Adapt training methods based on outcomes (Administration & Office > Human Resources Administration > Training Program Monitoring & Evaluation > Training Method Adaptation & Redesign)', 'Design leadership development programs for highpotential employees (Administration & Office > Human Resources Administration > Training Program Design & Delivery)', 'Monitor training costs and prepare budget justification reports (Administration & Office > Human Resources Administration > Training Budget Monitoring & Reporting)', 'Monitor, evaluate, and document training program effectiveness (Administration & Office > Human Resources Administration > Training Program Monitoring & Evaluation)', 'Monitor professional literature and trends (Administration & Office → Human Resources Administration → Professional Literature & Trends Monitoring)', 'Design and direct orientation and training programs (Administration & Office > Human Resources Administration > Training Program Design & Delivery)', 'Evaluate and select training delivery modalities (Administration & Office > Human Resources Administration > Training Program Design & Delivery > Training Delivery Modality Evaluation & Selection)'}",452300,0.011862396204033215
Mechanical Engineering Technologists and Technicians,"{'Prepare equipment inspection and reliability schedules and related work plans (Administration & Office > Scheduling & Notifications > Maintenance & Inspection Scheduling)', 'Draft detailed fabrication sketches for parts and assemblies (Operations & Logistics > Mechanical & Product Drafting (CAD))', 'Interpret engineering drawings and specifications (Operations & Logistics > Blueprint & Technical Drawing Interpretation)', 'Plan manufacturing requirements from project specifications (Operations & Logistics > Engineering Design Modeling & Evaluation > Manufacturing Requirements Review & Planning (from Specs))', 'Derive test specifications and procedures from project documentation and blueprints (Quality Management > Test Planning & Design)', 'Analyze test results and adjust equipment to meet specifications (Quality Management > Test Results Analysis & Corrective Actions)', 'Design manufacturing tooling (molds, dies, jigs, fixtures) (Operations & Logistics > Manufacturing Tooling Design (Molds, Dies, Jigs, Fixtures))', 'Provide mechanical design and fabrication technical support (Operations & Logistics > Mechanical Design & Fabrication Technical Support)', 'Calculate equipment capacity requirements for performance targets (Operations & Logistics > Engineering Design Modeling & Evaluation > Equipment Capacity Requirements Calculation)', 'Document test procedures, results, and improvement recommendations (Quality Management > Test Documentation & Records)'}",38300,0.011862396204033215
Human Resources Managers,"{'Provide employee policy and benefits information (Administration & Office > Human Resources Administration > Employee Relations & Policy Communication)', 'Administer compensation, benefits, performance management, and employee programs (Administration & Office > Human Resources Administration > Compensation, Benefits & Performance Program Administration)', 'Maintain personnel records and compile HR statistics (Administration & Office > Human Resources Administration > Personnel Records Maintenance & Reporting)', 'Develop, administer, and evaluate applicant assessments (Administration & Office > Human Resources Administration > Applicant Test Development, Administration & Evaluation)', 'Analyze HR data and reports to diagnose personnel issues and recommend policy improvements (Data & Analytics > Operational Data Analysis & Solution Recommendation)'}",221900,0.005931198102016607
Legal Secretaries and Administrative Assistants,"{'Submit research materials to attorneys for review and approval (Compliance & Legal > Legal Support Administration > Research Materials Submission & Review Coordination)', 'Organize and maintain legal records, law library materials, and case files (Compliance & Legal > Legal Support Administration > Legal Records & Case File Organization & Maintenance)', 'Arrange travel logistics (Operations & Logistics > Travel Booking & Ticketing > Travel Booking & Itinerary Coordination)', 'Complete legal and administrative forms and client applications (Administration & Office > General Office Administration > Forms Completion & Processing)', 'Schedule and confirm appointments (Administration & Office > Scheduling & Notifications > Appointment Scheduling)', 'Prepare, proofread, and process legal documents (Compliance & Legal > Legal Document Drafting & Review > Legal Document Preparation, Proofreading & Processing)', 'Prepare and distribute invoices (Finance & Accounting > Invoicing & Billing Administration)', 'Compose routine office memos (Content & Publishing > Business Correspondence Writing)'}",156300,0.009489916963226572
Mechanical Engineers,"{'Develop and test models of alternate designs or processes to assess feasibility and impacts (Operations & Logistics > Engineering Design Modeling & Evaluation > Alternate Design & Process Modeling & Testing)', 'Convey customer problems and needs to design engineers (Operations & Logistics > Engineering Design Modeling & Evaluation > Customer Feedback Communication to Design Engineering)', 'Specify components and direct product modifications for compliance (Operations & Logistics > Engineering Design Modeling & Evaluation > Design Compliance Specification & Modification Direction)', 'Interpret technical blueprints and drawings (Operations & Logistics > Blueprint & Technical Drawing Interpretation)', 'Evaluate feasibility and performance of equipment and systems (Operations & Logistics > Engineering Design Modeling & Evaluation > Equipment & Systems Feasibility & Performance Analysis)', 'Support CADbased product structural design (Operations & Logistics → Mechanical & Product Drafting (CAD))'}",293100,0.0071174377224199285
Transportation Planners,"{'Interpret transportation modeling and GIS data (Operations & Logistics > Geospatial Interpretation & Navigation > Transportation Modeling & GIS Analysis)', 'Recommend transportation system improvements based on projections (Operations & Logistics > Geospatial Interpretation & Navigation > Transportation System Planning & Improvement Recommendations)', 'Prepare transportation planning reports and recommendations (Operations & Logistics > Geospatial Interpretation & Navigation > Transportation System Planning & Improvement Recommendations)'}",40800,0.0035587188612099642
Medical Secretaries and Administrative Assistants,"{'Operate office equipment and productivity software to prepare documents and records (Administration & Office > General Office Administration > Office Equipment & Productivity Software Operation)', 'Prepare and complete insurance claim forms (Administration & Office > Records Management > Insurance Claim Documentation Preparation & Completeness Review)', 'Manage office supplies and inventory (Administration & Office > Office Supplies & Inventory Control)', 'Maintain medical records, technical library materials, and correspondence files (Administration & Office > Records Management > Operational Records & File Maintenance)', 'Transmit correspondence and records via mail, email, or fax (Administration & Office > Document Production & Distribution > Document Transmission & Mailing)', 'Compile and record clinical charts, reports, and correspondence (Administration & Office > Records Management > Clinical Charts & Reports Compilation & Entry)', 'Transcribe medical dictations into patient records (Administration & Office > Records Management > Medical Transcription)', 'Schedule and confirm clinical appointments and procedures (Administration & Office > Scheduling & Notifications > Clinical Appointment Scheduling & Confirmation)', 'Schedule clinical tests and procedures based on physician orders (Administration & Office > Scheduling & Notifications > Clinical Tests & Procedure Scheduling)', 'Route incoming messages and documents to appropriate recipients (Administration & Office > Document Production & Distribution > Incoming Document & Message Routing)'}",850000,0.011862396204033215
Quality Control Analysts,"{'Review laboratory data for accuracy and regulatory compliance (Compliance & Legal > Regulatory Compliance > Laboratory Data Accuracy & Compliance Review)', 'Investigate and report anomalous test results (Quality Management > Test Results Analysis & Corrective Actions)', 'Prepare and maintain test documentation and logs (Quality Management > Test Documentation & Records)', 'Write quality control reports and protocols (Quality Management > Quality Reporting & Documentation)', 'Interpret test results against specifications and advise on release (Quality Management → Test Results Analysis & Corrective Actions)', 'Evaluate and improve analytical methods and procedures (Quality Management > Quality Control Procedure Development & Monitoring)', 'Provide quality control data for regulatory submissions (Quality Management > Regulatory Submission Quality Data Provision)', 'Compile and analyze laboratory test data (Quality Management > Test Results Analysis & Corrective Actions)'}",83200,0.009489916963226572
Appraisers and Assessors of Real Estate,"{'Identify and verify property ownership records (Administration & Office > Records Management > Property Assessment Records > Property Ownership Identification & Verification)', 'Prepare standardized property valuation reports (Finance & Accounting > Financial Calculations & Reporting > Property Valuation Report Preparation)', 'Maintain parcel assessment data and property records (Administration & Office > Records Management > Property Assessment Records > Parcel Assessment Data Maintenance)', 'Verify property legal descriptions against official records (Administration & Office → Records Management → Property Assessment Records → Property Legal Description Verification)', 'Collect property valuation comparables and sales data (Administration & Office > Records Management > Property Assessment Records > Property Valuation Data Collection)', 'Analyze zoning and building code implications (Compliance & Legal > Regulatory Compliance > Zoning & Building Code Analysis)', 'Collect and analyze data to identify real estate market trends (Data & Analytics > Market Research & Opportunity Analysis > Real Estate Market Trend Analysis)', 'Calculate property values using depreciation, replacement cost, comparables, and income methods (root > Finance & Accounting > Financial Calculations & Reporting > Property Valuation Calculation)', 'Maintain municipal property assessment rolls (Administration & Office > Records Management > Property Assessment Records > Assessment Roll Compilation & Maintenance)', 'Search public records for property transaction information (Administration & Office > Records Management > Property Assessment Records > Property Transaction Records Search)', 'Verify property transfer records for accuracy (Administration & Office > Records Management > Property Assessment Records > Property Transfer Record Verification)', 'Analyze property income and operating cost records for valuation (Finance & Accounting > Financial Calculations & Reporting > Property Valuation Calculation)'}",77300,0.014234875444839857
Producers and Directors,"{'Compile production materials and documentation (Content & Publishing > Production Materials Compilation)', 'Research production topics across sources (Content & Publishing > Fact Checking & Source Research)', 'Write and submit project bid proposals. (Content & Publishing > Technical Presentations & Reporting > Technical Sales Presentations & Proposal Development)', 'Edit audiovisual footage into sequences (Content & Publishing > Broadcast Production & OnAir Operations > Video/Film Editing & Sequence Assembly)', 'Develop and edit scripts or story outlines (Content & Publishing > Scriptwriting & Story Outline Development)', 'Coordinate rehearsal logistics and administrative materials (Administration & Office > General Office Administration > Event & Rehearsal Logistics Coordination)', 'Review audiovisual content for standards compliance (Quality Management > Standards Compliance Review & Remediation Recommendations)', 'Analyze scripts to plan directing approach (Content & Publishing > Script Analysis & Direction Planning)', 'Manage production budgeting, scheduling, planning, and marketing (Operations & Logistics > Production Scheduling & Documentation)', 'Review footage to assess progress and plan subsequent filming (Content & Publishing > Footage Review & Production Planning)', 'Conduct production progress meetings to align on objectives (Content & Publishing > Broadcast Production & OnAir Operations > Production Progress Review & Team Coordination)'}",167000,0.013048635824436536
Computer Network Support Specialists,"{'Analyze network and system metrics for utilization and health (Information Technology > IT Operations > Network Performance Monitoring & Capacity Planning)', 'Provide phonebased network connectivity support (Information Technology > IT Support > Networking & Connectivity Support)', 'Analyze and report network security incidents (Information Technology > IT Operations > Security Monitoring & Incident Reporting)', 'Document IT support activities (Information Technology → IT Support → Support Activity Logging)', 'Configure LAN/WAN routers and related network devices (Information Technology > IT Operations > Network & Systems Administration)', 'Troubleshoot network connectivity issues (Information Technology > IT Support > Networking & Connectivity Support)', 'Configure user and group access permissions. (Information Technology > IT Operations > Data Access Control Administration)', 'Perform network data backups (Information Technology > IT Operations > Backup & Disaster Recovery Operations)', 'Research and evaluate networking/security products to meet technical requirements (Information Technology > IT Operations > Software & Hardware Evaluation & Upgrade Recommendations)'}",152700,0.010676156583629894
"Business Teachers, Postsecondary","{'Maintain student attendance and grade records (Administration & Office > Records Management > Academic Records Management)', 'Evaluate and grade student work (Administration & Office → Assessment Administration & Grading)', 'Provide academic and career advising to students (Administration & Office > Academic Advising & Student Support > Academic & Career Advising)', 'Collaborate with colleagues on teaching and research issues (Administration & Office > Research Coordination & Communications > Teaching & Research Collaboration)', 'Administer and grade assessments (Administration & Office > Assessment Administration & Grading)', 'Maintain student advising office hours (Administration & Office > Scheduling & Notifications > Office Hours Scheduling & Availability Management)', 'Develop and maintain course websites (Information Technology > Web & Application Administration > Course Website Development & Maintenance)'}",103100,0.00830367734282325
"Securities, Commodities, and Financial Services Sales Agents","{'Prepare financial monitoring reports (Finance & Accounting > Financial Calculations & Reporting > Client Financial Reporting & Interpretation)', 'Review securities transactions for accuracy and regulatory compliance (Compliance & Legal > Regulatory Compliance > Securities Transaction Accuracy & Compliance Review)', 'Prepare and submit sales order entries for processing (Administration & Office > Records Management > Customer Records Management > Order Intake & Entry)', 'Calculate billing amounts and sales commissions (Finance & Accounting > Financial Calculations & Reporting > Billing & Commission Calculations)', 'Monitor financial market conditions and positions (Data & Analytics > Market Conditions Monitoring)', 'Monitor and analyze market drivers of price movement (Data & Analytics > Market Conditions Monitoring)', 'Maintain transaction records (Finance & Accounting > Bookkeeping & Ledger Maintenance)', 'Communicate market conditions to stakeholders (Data & Analytics > Market Conditions Reporting)'}",514500,0.009489916963226572
Librarians and Media Collections Specialists,"{'Conduct reference research to answer patron inquiries. (Administration & Office > Template & Knowledge Asset Library Management > Reference Inquiry Research & Response)', 'Conduct specialized reference information searches (Administration & Office > Records Management > Template & Knowledge Asset Library Management > Reference Inquiry Research & Response)', 'Maintain library circulation and catalog records (root > Administration & Office > Records Management > Template & Knowledge Asset Library Management > Library Circulation & Catalog Records Maintenance)', 'Compile subject bibliographies and resource lists (Administration & Office > Records Management > Template & Knowledge Asset Library Management > Subject Bibliography Compilation)', 'Develop, maintain, and troubleshoot information access tools (Administration & Office > Records Management > Template & Knowledge Asset Library Management > Information Access Tool Development & Maintenance)', 'Evaluate and select information resources for acquisition (Administration & Office > Records Management > Template & Knowledge Asset Library Management > Library Collection Development & Acquisitions)', 'Catalog and classify library materials (Administration & Office > Records Management > Template & Knowledge Asset Library Management > Library Cataloging & Classification)', 'Resolve customer complaints and take corrective action (Administration & Office > Customer Service & Issue Resolution > Customer Complaint Handling & Corrective Action)', 'Coordinate interlibrary loans (Administration & Office > Records Management > Template & Knowledge Asset Library Management > Interlibrary Loan Coordination)'}",142100,0.010676156583629894
Business Intelligence Analysts,"{'Identify and monitor customers using business intelligence tools (Data & Analytics > Market Research & Opportunity Analysis > Customer Identification & Monitoring (BI))', 'Produce standardized or custom analytical reports summarizing business/financial/economic data for stakeholders (Data & Analytics > Statistical Reporting)', 'Maintain template and knowledge asset library (Administration & Office > Records Management > Template & Knowledge Asset Library Management)', 'Disseminate analytics tool/report/metadata updates (Data & Analytics > Analytics Communications & Enablement)', 'Collect business intelligence data from industry, public, and purchased sources (Data & Analytics > Market Research & Opportunity Analysis > Business Intelligence Data Collection)', 'Manage distribution of business intelligence information to users (Data & Analytics > Analytics Communications & Enablement)'}",245900,0.0071174377224199285
Video Game Designers,"{'Create and oversee game narrative text and dialogue (Content & Publishing > Game Narrative Writing & Dialogue Development)', 'Design core game features and narrative elements (Content & Publishing > Game Feature & Narrative Design)', 'Design gameplay missions, challenges, and puzzles (Content & Publishing > Gameplay Mission & Challenge Design)', 'Manage production documentation, schedules, prototype goals, and communication plans (Operations & Logistics > Production Scheduling & Documentation)', 'Integrate crossfunctional design feedback into game design (Content & Publishing > Design Feedback Integration)', 'Review competitor media to generate new design ideas. (Content & Publishing > Competitive Media Review & Design Ideation)', 'Provide production feedback on technical game quality and design adherence (Content & Publishing > Interactive Experience Balancing & Tuning > Production Feedback on Technical Quality & Design Adherence)', 'Provide gameplay design feedback (Content & Publishing > Interactive Experience Balancing & Tuning > Production Feedback on Technical Quality & Design Adherence)', 'Develop and maintain game design documentation (mechanics, guidelines, missions) (Content & Publishing > Game Design Documentation Development & Maintenance)', 'Create concept layouts and 3D mockups (Content & Publishing > Concept Layout & Mockup Creation)', 'Facilitate iterative design reviews during game development (Content & Publishing > Creative Asset Review & Approval)', 'Balance and tune gameplay experiences for product success (Content & Publishing > Interactive Experience Balancing & Tuning)', 'Develop interactive gameplay prototypes for stakeholder presentation (Content & Publishing > Interactive Prototype Development & Presentation)'}",128900,0.01542111506524318
Loan Officers,"{'Calculate loan payment schedules (Finance & Accounting > Financial Calculations & Reporting > Loan Payment Schedule Calculation)', 'Submit credit applications for analyst verification and recommendation (Finance & Accounting > Credit Application Submission & Routing)', 'Review and update credit and loan records (Finance & Accounting > Credit & Loan Records Review & Maintenance)', 'Approve loans within authority and escalate beyond limits (Finance & Accounting > Financial Profile Assessment > Credit & Loan Approval Decisioning & Coordination)', 'Collect and compile loan applicant financial documents (Finance & Accounting > Financial Document Collection & Verification)', 'Assess borrower creditworthiness for loan feasibility (Finance & Accounting > Financial Profile Assessment > Credit Risk Assessment & Reporting)', 'Monitor financial products and loan offerings (Finance & Accounting > Financial Products & Services Trends Monitoring)', 'Review loan agreements for completeness and policy compliance (Finance & Accounting > Credit & Loan Records Review & Maintenance > Loan Agreement Completeness & Policy Compliance Review)'}",301400,0.009489916963226572
Reservation and Transportation Ticket Agents and Travel Clerks,"{'Communicate travel reservation changes and confirmations (Operations & Logistics > Travel Booking & Ticketing > Reservation Change & Confirmation Communications)', 'Plan itineraries and compute travel costs (Operations & Logistics > Travel Booking & Ticketing > Travel Booking & Itinerary Coordination)', 'Answer information inquiries about schedules, accommodations, procedures, or policies (Administration & Office > Customer Service & Issue Resolution > Information Inquiry Response (Schedules, Accommodations, Procedures & Policies))', 'Maintain digital availability records and communicate capacity status (Operations & Logistics > Travel Booking & Ticketing > Passenger Space Availability Records Maintenance)', 'Assemble and issue travel documentation (Operations & Logistics > Travel Booking & Ticketing > Travel Documentation Assembly & Issuance)', 'Check travel availability and assign reservations (Operations & Logistics > Travel Booking & Ticketing > Travel Availability Verification & Reservation Assignment)', 'Verify travel documents and issue boarding passes (Operations & Logistics > Travel Booking & Ticketing > Travel Document Verification & Boarding Pass Issuance)', 'Advise clients on essential travel information and requirements (Operations & Logistics > Travel Booking & Ticketing > Client Travel Information Advising)', 'Prepare customer invoices and process payments (Finance & Accounting > Invoicing & Billing Administration > Customer Invoice Preparation & Payment Processing)', 'Advise clients on travel options and information sources (Operations & Logistics > Travel Booking & Ticketing > Client Travel Information Advising)', 'Trace and resolve lost or misdirected baggage (Operations & Logistics > Travel Booking & Ticketing > Baggage Irregularity Tracing & Resolution)'}",131900,0.013048635824436536
Personal Financial Advisors,"{'Prepare and interpret client financial reports and projections (Finance & Accounting > Financial Calculations & Reporting > Client Financial Reporting & Interpretation)', 'Recommend suitable financial products to clients (Finance & Accounting > Investment & Portfolio Management > Financial Product Recommendations)', 'Maintain client financial plans and portfolios (Finance & Accounting > Investment & Portfolio Management > Client Portfolio Maintenance & Plan Updates)', 'Develop client financial strategies from analyzed financial information (Finance & Accounting > Financial Profile Assessment > Financial Objectives Strategy Development)', 'Monitor market conditions to keep client financial plans responsive (Data & Analytics > Market Conditions Monitoring)'}",326000,0.005931198102016607
Purchasing Managers,"{'Identify and assess suppliers and terms of sale (Operations & Logistics > Procurement & Purchasing > Supplier & Product Research)', 'Review procurement documents for policy compliance (Compliance & Legal > Regulatory Compliance > Contract & Procurement Compliance Review)', 'Review and approve procurement bid specifications (Compliance & Legal > Regulatory Compliance > Contract & Procurement Compliance Review)', 'Analyze supply markets and delivery systems to assess material availability (Operations & Logistics > Supply Chain Operations Management > Supply Chain Forecast & Quota Impact Analysis)', 'Administer eprocurement systems (Operations & Logistics > Procurement & Purchasing > EProcurement System Administration)', 'Maintain records of goods ordered and received (Operations & Logistics > Procurement & Purchasing > Purchasing & Inventory Records Maintenance & Review)', 'Prepare and process purchase requisitions and orders (Operations & Logistics > Procurement & Purchasing > Purchase Order Preparation, Bid Solicitation & Requisition Review)', 'Prepare bid award documentation for approval (Operations & Logistics > Procurement & Purchasing > Bid Award Documentation Preparation)'}",83500,0.009489916963226572
Information Security Analysts,"{'Plan data security and contingency measures (Information Technology > IT Operations > Data Security & Contingency Plan Development)', 'Administer and monitor data access controls to safeguard information (Information Technology > IT Operations > Data Access Control Administration)', 'Update security configurations and access permissions (Information Technology > IT Operations > Data Access Control Administration)', 'Document security policies, procedures, and emergency measures tests (Information Technology > IT Operations > Security Policy & Procedure Documentation)', 'Monitor virus threat reports to determine antivirus update needs (Information Technology > IT Operations > Security Monitoring & Incident Reporting)'}",182800,0.005931198102016607
Photographers,"{'Measure and calculate photographic lighting and exposure parameters (Content & Publishing > Photography Lighting & Exposure Measurement)', 'Transfer media files to computers for editing and archiving (Content & Publishing > Digital File Preparation)', 'Edit and enhance digital images. (Content & Publishing > Digital Image Editing & Retouching)', 'Write image captions (Content & Publishing > Image Caption Writing)', 'Review photo sets to select and curate the best images (Content & Publishing > Content Selection & Organization for Presentation)', 'Perform general office administration (scheduling, bookkeeping, supplies) (Administration & Office > General Office Administration)', 'Edit and retouch photographs (enhancement, resizing) (Content & Publishing > Digital Image Editing & Retouching)'}",151200,0.00830367734282325
